t (s),V (mV)
0,11.0665
0.99,11.0506
1.99,11.0235
2.99,10.9888
3.991,10.9553
4.99,10.9206
5.99,10.8874
6.99,10.8545
7.99,10.8208
8.99,10.7887
9.99,10.7558
10.99,10.7237
11.99,10.6903
12.99,10.6584
13.99,10.6262
14.989,10.5942
15.989,10.5629
16.989,10.5303
17.989,10.5
18.989,10.4686
19.99,10.4362
20.989,10.4044
21.989,10.3729
22.989,10.3411
23.99,10.3103
24.989,10.2792
25.989,10.2485
26.989,10.2186
27.989,10.1868
28.989,10.157
29.99,10.1258
30.989,10.0956
31.989,10.0662
32.989,10.035
33.989,10.0054
34.99,9.9756
35.99,9.9451
36.99,9.9147
37.99,9.8854
38.99,9.8554
39.99,9.8256
40.99,9.7958
41.99,9.7664
42.99,9.7362
43.99,9.7064
44.99,9.677
45.99,9.6483
46.99,9.6201
47.99,9.59
48.99,9.5609
49.99,9.5319
50.99,9.5029
51.99,9.4729
52.99,9.4439
53.99,9.4157
54.99,9.3871
55.99,9.3573
56.99,9.329
57.99,9.3003
58.99,9.2721
59.99,9.2441
60.99,9.2152
61.99,9.1869
62.99,9.1596
63.99,9.1314
64.99,9.1037
65.99,9.0767
66.99,9.0479
67.99,9.0196
68.99,8.9925
69.99,8.9648
70.99,8.9394
71.99,8.9111
72.99,8.8842
73.99,8.8566
74.99,8.8296
75.99,8.8023
76.99,8.7751
77.99,8.7482
78.99,8.7218
79.99,8.6958
80.99,8.6672
81.99,8.6398
82.99,8.6138
83.99,8.5878
84.99,8.5622
85.99,8.5361
86.99,8.5097
87.99,8.4836
88.99,8.4587
89.99,8.4323
90.99,8.406
91.99,8.3807
92.99,8.3559
93.99,8.33
94.99,8.3048
95.99,8.2787
96.99,8.2542
97.99,8.2293
98.99,8.2029
99.99,8.1784
100.99,8.1525
101.99,8.1263
102.99,8.1027
103.99,8.0783
104.99,8.0547
105.99,8.03
106.99,8.0069
107.99,7.9822
108.99,7.9591
109.99,7.9337
110.99,7.9113
111.99,7.888
112.99,7.8643
113.99,7.8409
114.99,7.8167
115.99,7.7933
116.99,7.7706
117.99,7.7459
118.99,7.722
119.99,7.6965
120.99,7.6758
121.99,7.653
122.99,7.6304
123.99,7.609
124.99,7.5864
125.99,7.5627
126.99,7.5383
127.99,7.5149
128.99,7.4917
129.99,7.4696
130.99,7.4468
131.99,7.4248
132.99,7.4026
133.99,7.3792
134.99,7.3581
135.99,7.335
136.99,7.3134
137.99,7.29
138.99,7.2681
139.99,7.2456
140.99,7.2235
141.99,7.2018
142.99,7.1802
143.99,7.1573
144.99,7.1366
145.99,7.1153
146.99,7.0935
147.99,7.0712
148.99,7.0486
149.99,7.0282
150.99,7.0062
151.99,6.9841
152.99,6.9639
153.99,6.9427
154.99,6.9209
155.99,6.8998
156.99,6.8778
157.99,6.8576
158.99,6.8366
159.99,6.8143
160.99,6.7934
161.99,6.7725
162.99,6.7511
163.99,6.7302
164.99,6.709
165.99,6.688
166.99,6.6679
167.99,6.6475
168.99,6.6275
169.99,6.6062
170.99,6.5844
171.99,6.5649
172.99,6.5453
173.99,6.5253
174.99,6.5042
175.99,6.4845
176.99,6.464
177.99,6.4437
178.99,6.424
179.99,6.4041
180.99,6.3829
181.99,6.3632
182.99,6.343
183.99,6.3244
184.99,6.3041
185.99,6.2848
186.99,6.2659
187.99,6.2469
188.99,6.2279
189.99,6.2076
190.99,6.1895
191.99,6.1702
192.99,6.1522
193.99,6.1333
194.99,6.1154
195.99,6.097
196.99,6.0792
197.99,6.0606
198.99,6.0416
199.99,6.0236
200.99,6.0054
201.99,5.9879
202.99,5.9683
203.99,5.9514
204.99,5.9329
205.99,5.9137
206.99,5.8966
207.99,5.8772
208.99,5.8594
209.99,5.8415
210.99,5.8236
211.99,5.8064
212.99,5.789
213.99,5.7701
214.99,5.7531
215.99,5.7351
216.99,5.7173
217.99,5.6998
218.99,5.682
219.99,5.6641
220.99,5.6454
221.99,5.6274
222.99,5.6091
223.99,5.5915
224.99,5.5734
225.99,5.5551
226.99,5.5373
227.99,5.5193
228.99,5.5023
229.99,5.4839
230.99,5.4663
231.99,5.4484
232.99,5.4298
233.99,5.4123
234.99,5.3956
235.99,5.3773
236.99,5.3601
237.99,5.3429
238.99,5.3264
239.99,5.309
240.99,5.2934
241.99,5.2767
242.99,5.2599
243.99,5.244
244.99,5.227
245.99,5.2108
246.99,5.1947
247.99,5.1773
248.99,5.1615
249.99,5.1446
250.99,5.1284
251.99,5.1123
252.99,5.0962
253.99,5.0792
254.99,5.0628
255.99,5.0473
256.99,5.0315
257.99,5.0158
258.99,5.0007
259.99,4.9843
260.989,4.969
261.99,4.9531
262.99,4.9372
263.99,4.9208
264.99,4.9048
265.99,4.8876
266.99,4.8722
267.99,4.8565
268.99,4.8402
269.99,4.8259
270.99,4.8096
271.99,4.7944
272.99,4.7779
273.99,4.7623
274.99,4.7473
275.99,4.7314
276.99,4.7153
277.99,4.7011
278.99,4.686
